uniqueID,reportedTime,clearedTime,timeType,siteCode,cellName,count,cell,l_cellDown,l_siteDown
U2K2N:8551:56.3642514031937936,2021-08-20 05:17:03,2021-08-20 14:43:19,on,AR2U0823,AR2U0823B2,6,3,1,0
U2K2N:8551:56.3642514041894759,2021-08-20 05:17:03,2021-08-20 14:43:19,on,AR2U0823,AR2U0823A2,6,5,1,0
U2K2N:8551:56.3642514067513256,2021-08-20 05:17:03,2021-08-20 14:43:19,on,AR2U0823,AR2U0823C2,6,1,1,0
U2K2N:8551:56.3642514051247153,2021-08-20 05:17:03,2021-08-20 14:43:19,on,AR2U0823,AR2U0823C1,6,6,1,0
U2K2N:8551:56.3642514003246538,2021-08-20 05:17:03,2021-08-20 14:43:19,on,AR2U0823,AR2U0823A1,6,2,1,0
U2K2N:8551:56.3642514059379328,2021-08-20 05:17:03,2021-08-20 14:43:19,on,AR2U0823,AR2U0823B1,6,4,1,1
U2K2N:8551:56.3658647901035305,2021-08-20 09:45:57,2021-08-20 11:51:14,on,AR2U0078,AR2U0078A1,4,3,1,0
U2K2N:8551:56.3658647873986536,2021-08-20 09:45:57,2021-08-20 11:51:14,on,AR2U0078,AR2U0078B1,4,1,1,0
U2K2N:8551:56.3658647914289864,2021-08-20 09:45:57,2021-08-20 11:51:14,on,AR2U0078,AR2U0078B2,4,2,1,0
U2K2N:8551:56.3658647908311274,2021-08-20 09:45:57,2021-08-20 11:51:14,on,AR2U0078,AR2U0078A2,4,4,1,1
U2K2N:8551:56.3658647901035305,2021-08-20 11:51:14,,off,AR2U0078,AR2U0078A1,4,3,0,0
U2K2N:8551:56.3658647873986536,2021-08-20 11:51:14,,off,AR2U0078,AR2U0078B1,4,1,0,0
U2K2N:8551:56.3658647914289864,2021-08-20 11:51:14,,off,AR2U0078,AR2U0078B2,4,2,0,0
U2K2N:8551:56.3658647908311274,2021-08-20 11:51:14,,off,AR2U0078,AR2U0078A2,4,4,0,0
U2K2N:8551:56.3642514041894759,2021-08-20 14:43:19,,off,AR2U0823,AR2U0823A2,6,5,0,0
U2K2N:8551:56.3642514003246538,2021-08-20 14:43:19,,off,AR2U0823,AR2U0823A1,6,2,0,0
U2K2N:8551:56.3642514031937936,2021-08-20 14:43:19,,off,AR2U0823,AR2U0823B2,6,3,0,0
U2K2N:8551:56.3642514051247153,2021-08-20 14:43:19,,off,AR2U0823,AR2U0823C1,6,6,0,0
